source,domain,field,trusted
False Dispatch,falsedispatch.info,,False
Rumor Dispatch,rumordispatch.org,General News,False
Spin Times,spintimes.net,General News,False
Hoax Dispatch,hoaxdispatch.com,General News,False
Gossip Dispatch,gossipdispatch.info,,False
Wild Dispatch,wilddispatch.org,General News,False
Fake Times,faketimes.net,General News,False
Plot Scope,plotscope.com,Politics and International Affairs,False
Conspiracy Herald,conspiracyherald.net,Politics and International Affairs,False
False Policy,falsepolicy.info,,False
Lie State,liestate.org,Politics and International Affairs,False
Scam Policy,scampolicy.com,Politics and International Affairs,False
Hype Affairs,hypeaffairs.net,Politics and International Affairs,False
Fake State,fakestate.info,,False
Myth Policy,mythpolicy.org,Politics and International Affairs,False
Rumor Affairs,rumoraffairs.com,Politics and International Affairs,False
Spin State,spinstate.net,Politics and International Affairs,False
Hoax Policy,hoaxpolicy.info,,False
Gossip Affairs,gossipaffairs.org,Politics and International Affairs,False
Wild State,wildstate.com,Politics and International Affairs,False
Fake Policy,fakepolicy.net,Politics and International Affairs,False
Myth State,mythstate.info,,False
Lie Affairs,lieaffairs.org,Politics and International Affairs,False
Scam State,scamstate.com,Politics and International Affairs,False
Hype Policy,hypepolicy.net,Politics and International Affairs,False
False Affairs,falseaffairs.info,,False
Rumor Policy,rumorpolicy.org,Politics and International Affairs,False
Spin Affairs,spinaffairs.com,Politics and International Affairs,False
Hoax State,hoaxstate.net,Politics and International Affairs,False
Gossip Policy,gossippolicy.info,,False
Wild Policy,wildpolicy.org,Politics and International Affairs,False
Fake Affairs,fakeaffairs.com,Politics and International Affairs,False
Myth Affairs,mythaffairs.net,Politics and International Affairs,False
Lie Policy,liepolicy.com,Politics and International Affairs,False
Scam Affairs,scamaffairs.info,,False
Hype State,hypestate.org,Politics and International Affairs,False
Rumor State,rumorstate.com,Politics and International Affairs,False
Spin Policy,spinpolicy.info,,False
Hoax Affairs,hoaxaffairs.org,Politics and International Affairs,False
Gossip State,gossipstate.net,Politics and International Affairs,False
Wild Affairs,wildaffairs.com,Politics and International Affairs,False
Satire Scope,satirescope.com,Entertainment and Culture,False
Gag Herald,gagherald.net,Entertainment and Culture,False
Mock Times,mocktimes.info,,False
Parody Scope,parodyscope.org,Entertainment and Culture,False
Fun Herald,funherald.com,Entertainment and Culture,False
Hoax Culture,hoaxculture.net,Entertainment and Culture,False
Spoof Times,spooftimes.info,,False
Wit Scope,witscope.org,Entertainment and Culture,False
Laugh Herald,laughherald.com,Entertainment and Culture,False
Fake Arts,fakearts.net,Entertainment and Culture,False
Myth Culture,mythculture.info,,False
Lie Pop,liepop.org,Entertainment and Culture,False
Scam Culture,scamculture.com,Entertainment and Culture,False
Hype Arts,hypearts.net,Entertainment and Culture,False
False Pop,falsepop.info,,False
Rumor Culture,rumorculture.org,Entertainment and Culture,False
Spin Arts,spinarts.com,Entertainment and Culture,False
Hoax Pop,hoaxpop.net,Entertainment and Culture,False
Gossip Arts,gossiparts.info,,False
Wild Culture,wildculture.org,Entertainment and Culture,False
Fake Culture,fakeculture.com,Entertainment and Culture,False
Myth Arts,mytharts.net,Entertainment and Culture,False
Lie Culture,lieculture.info,,False
Scam Pop,scampop.org,Entertainment and Culture,False
Hype Culture,hypeculture.com,Entertainment and Culture,False
False Culture,falseculture.net,Entertainment and Culture,False
Rumor Pop,rumorpop.info,,False
Spin Culture,spinculture.org,Entertainment and Culture,False
Hoax Arts,hoaxarts.com,Entertainment and Culture,False
Gossip Culture,gossipculture.net,Entertainment and Culture,False
Wild Pop,wildpop.info,,False
Fake Pop,fakepop.org,Entertainment and Culture,False
Myth Pop,mythpop.com,Entertainment and Culture,False
Lie Arts,liearts.net,Entertainment and Culture,False
Scam Arts,scamarts.info,,False
Hype Pop,hypepop.org,Entertainment and Culture,False
False Arts,falsearts.com,Entertainment and Culture,False
Rumor Arts,rumorarts.net,Entertainment and Culture,False
Spin Pop,spinpop.info,,False
Health Hoax,healthhoax.com,Health and Medicine,False
Care Lie,carelie.net,Health and Medicine,False
Myth Wellness,mythwellness.info,,False
Scam Health,scamhealth.org,Health and Medicine,False
False Care,falsecare.com,Health and Medicine,False
Hype Wellness,hypewellness.net,Health and Medicine,False
Fake Health,fakehealth.info,,False
Rumor Med,rumormed.org,Health and Medicine,False
Spin Wellness,spinwellness.com,Health and Medicine,False
Hoax Care,hoaxcare.net,Health and Medicine,False
Gossip Health,gossiphealth.info,,False
Wild Med,wildmed.org,Health and Medicine,False
Fake Care,fakecare.com,Health and Medicine,False
Myth Health,mythhealth.net,Health and Medicine,False
Lie Wellness,liewellness.info,,False
Scam Care,scam-care.org,Health and Medicine,False
Hype Health,hypehealth.com,Health and Medicine,False
False Wellness,falsewellness.net,Health and Medicine,False
Rumor Care,rumorcare.org,Health and Medicine,False
Spin Health,spinhealth.info,,False
Market Hoax,markethoax.com,Business and Finance,False
Profit Lie,profitlie.net,Business and Finance,False
Myth Wealth,mythwealth.info,,False
Scam Trade,scamtrade.org,Business and Finance,False
False Market,falsemarket.com,Business and Finance,False
Hype Profit,hypeprofit.net,Business and Finance,False
Fake Trade,faketrade.info,,False
Rumor Wealth,rumorwealth.org,Business and Finance,False
Spin Market,spinmarket.com,Business and Finance,False
Hoax Profit,hoaxprofit.net,Business and Finance,False
Eco Lie,ecolie.com,Environment and Climate,False
Green Hoax,greenhoax.net,Environment and Climate,False
False Eco,falseeco.info,,False
Myth Planet,mythplanet.org,Environment and Climate,False
Scam Green,scamgreen.com,Environment and Climate,False
Hype Eco,hypeeco.net,Environment and Climate,False
Fake Planet,fakeplanet.info,,False
Rumor Green,rumorgreen.org,Environment and Climate,False
Spin Eco,spineco.com,Environment and Climate,False
Hoax Planet,hoaxplanet.net,Environment and Climate,False
BBC News,bbc.com,General News,True
Reuters,reuters.com,General News,True
Associated Press,apnews.com,General News,True
The New York Times,nytimes.com,General News,True
The Guardian,theguardian.com,General News,True
Al Jazeera,aljazeera.com,General News,True
NPR,npr.org,General News,True
DW News,dw.com,General News,True
Nature,nature.com,Science and Technology,True
Science Magazine,sciencemag.org,Science and Technology,True
Scientific American,scientificamerican.com,Science and Technology,True
MIT Technology Review,technologyreview.com,Science and Technology,True
Wired,wired.com,Science and Technology,True
Ars Technica,arstechnica.com,Science and Technology,True
The Verge,theverge.com,Science and Technology,True
The Wall Street Journal,wsj.com,Business and Finance,True
Bloomberg,bloomberg.com,Business and Finance,True
Financial Times,ft.com,Business and Finance,True
CNBC,cnbc.com,Business and Finance,True
Forbes,forbes.com,Business and Finance,True
The Economist,economist.com,Business and Finance,True
World Health Organization,who.int,Health and Medicine,True
Centers for Disease Control and Prevention,cdc.gov,Health and Medicine,True
Mayo Clinic,mayoclinic.org,Health and Medicine,True
WebMD,webmd.com,Health and Medicine,True
Healthline,healthline.com,Health and Medicine,True
Medical News Today,medicalnewstoday.com,Health and Medicine,True
Politico,politico.com,Politics and International Affairs,True
Foreign Policy,foreignpolicy.com,Politics and International Affairs,True
The Hill,thehill.com,Politics and International Affairs,True
The Washington Post,washingtonpost.com,Politics and International Affairs,True
The Diplomat,thediplomat.com,Politics and International Affairs,True
National Geographic,nationalgeographic.com,Environment and Climate,True
Grist,grist.org,Environment and Climate,True
Inside Climate News,insideclimatenews.org,Environment and Climate,True
Carbon Brief,carbonbrief.org,Environment and Climate,True
Mongabay,mongabay.com,Environment and Climate,True
Inside Higher Ed,insidehighered.com,Education,True
The Chronicle of Higher Education,chronicle.com,Education,True
EdSurge,edsurge.com,Education,True
Times Higher Education,timeshighereducation.com,Education,True
Variety,variety.com,Entertainment and Culture,True
The Hollywood Reporter,hollywoodreporter.com,Entertainment and Culture,True
Rolling Stone,rollingstone.com,Entertainment and Culture,True
Pitchfork,pitchfork.com,Entertainment and Culture,True
Snopes,snopes.com,Fact-Checking,True
FactCheck.org,factcheck.org,Fact-Checking,True
PolitiFact,politifact.com,Fact-Checking,True
The Poynter Institute,poynter.org,Fact-Checking,True
AFP Fact Check,factcheck.afp.com,Fact-Checking,True
CNN,cnn.com,Regional (US),True
USA Today,usatoday.com,Regional (US),True
Los Angeles Times,latimes.com,Regional (US),True
Le Monde,lemonde.fr,Regional (Europe),True
Der Spiegel,spiegel.de,Regional (Europe),True
El País,elpais.com,Regional (Europe),True
The Straits Times,straitstimes.com,Regional (Asia),True
The Japan Times,japantimes.co.jp,Regional (Asia),True
South China Morning Post,scmp.com,Regional (Asia),True
Daily Nation,nation.co.ke,Regional (Africa),True
Mail & Guardian,mg.co.za,Regional (Africa),True
source,domain,field,True
The Onion,theonion.com,Entertainment and Culture,False
Infowars,infowars.com,General News,False
Breitbart News,breitbart.com,Politics and International Affairs,False
Natural News,naturalnews.com,Health and Medicine,False
RT,rt.com,General News,False
Global Research,globalresearch.ca,Politics and International Affairs,False
NewsPunch,newspunch.com,General News,False
The Daily Stormer,dailystormer.name,Politics and International Affairs,False
ClickHole,clickhole.com,Entertainment and Culture,False
World Truth TV,worldtruth.tv,General News,False
Epoch Times,theepochtimes.com,General News,False
Before It’s News,beforeitsnews.com,General News,False
The Babylon Bee,babylonbee.com,Entertainment and Culture,False
Zero Hedge,zerohedge.com,Business and Finance,False
QAnon News,qanon.news,Politics and International Affairs,False
The Sun,thesun.co.uk,General News,True
The Times of India,timesofindia.indiatimes.com,Regional (Asia),True
Asahi Shimbun,asahi.com,Regional (Asia),True
Sydney Morning Herald,smh.com.au,Regional (Oceania),True
The Globe and Mail,theglobeandmail.com,Regional (North America),True
Haaretz,haaretz.com,Regional (Middle East),True
The Independent,independent.co.uk,General News,True
New Scientist,newscientist.com,Science and Technology,True
IEEE Spectrum,spectrum.ieee.org,Science and Technology,True
The Lancet,thelancet.com,Health and Medicine,True
EcoWatch,ecowatch.com,Environment and Climate,True
Education Week,edweek.org,Education,True
TMZ,tmz.com,Entertainment and Culture,True
YourNewsWire,yournewswire.com,General News,False
Truth Examiner,truthexaminer.com,General News,False
Conspiracy Daily,conspiracy-daily.com,General News,False
Health Impact News,healthimpactnews.com,Health and Medicine,False
Climate Hoax Weekly,climatehoaxweekly.org,Environment and Climate,False
The Fake Times,thefaketimes.net,General News,False
Viral Liberty,viralliberty.com,Politics and International Affairs,False
Prime News,primenews.org,General News,True
Global Dispatch,globaldispatch.com,General News,True
Unity Times,unitytimes.net,General News,True
World Pulse,worldpulse.org,General News,True
Clear Report,clearreport.info,General News,True
Daily Insight,dailyinsight.com,General News,True
Truth Press,truthpress.org,General News,True
Nova News,novanews.net,General News,True
Core Times,coretimes.com,General News,True
Bright News,brightnews.org,General News,True
Focus Post,focuspost.info,General News,True
Echo Times,echotimes.net,General News,True
Globe Watch,globewatch.com,General News,True
Star Report,starreport.org,General News,True
Open News,opennews.info,General News,True
True Herald,trueherald.com,General News,True
Civic Times,civictimes.net,General News,True
Hope Press,hopepress.org,General News,True
Light News,lightnews.com,General News,True
Vision Post,visionpost.info,General News,True
Summit News,summitnews.net,General News,True
Beacon Post,beaconpost.com,General News,True
Rise Times,risetimes.org,General News,True
Pure News,purenews.info,General News,True
Bold Press,boldpress.com,General News,True
Clarity Post,claritypost.net,General News,True
Unity Post,unitypost.org,General News,True
Global Beat,globalbeat.com,General News,True
Insight Times,insighttimes.info,General News,True
Truth Beacon,truthbeacon.net,General News,True
World Insight,worldinsight.com,General News,True
Daily Pulse,dailypulse.org,General News,True
Core News,corenews.info,General News,True
Bright Press,brightpress.com,General News,True
Open Times,opentimes.net,General News,True
Star News,starnews.org,General News,True
Clear Times,cleartimes.com,General News,True
Hope News,hopenews.info,General News,True
Vision News,visionnews.net,General News,True
Advance Post,advancepost.com,General News,True
Tech Pulse,techpulse.org,Science and Technology,True
Future Tech,futuretech.com,Science and Technology,True
Inno Journal,innojournal.net,Science and Technology,True
Science Post,sciencepost.info,Science and Technology,True
Tech Beacon,techbeacon.com,Science and Technology,True
Digital Times,digitaltimes.org,Science and Technology,True
Nova Tech,novatech.net,Science and Technology,True
Bright Tech,brighttech.info,Science and Technology,True
Core Science,corescience.com,Science and Technology,True
Insight Tech,insighttech.org,Science and Technology,True
Open Science,openscience.info,Science and Technology,True
Star Tech,startech.com,Science and Technology,True
Clear Tech,cleartech.org,Science and Technology,True
Vision Tech,visiontech.info,Science and Technology,True
Pure Tech,puretech.org,Science and Technology,True
Clarity Tech,claritytech.info,Science and Technology,True
Global Tech,globaltech.org,Science and Technology,True
Rise Tech,risetech.info,Science and Technology,True
Beacon Tech,beacontech.org,Science and Technology,True
Focus Tech,focustech.info,Science and Technology,True
Echo Tech,echotech.com,Science and Technology,True
Globe Tech,globetech.org,Science and Technology,True
Trade Times,tradetimes.com,Business and Finance,True
Wealth Post,wealthpost.org,Business and Finance,True
Market News,marketnews.info,Business and Finance,True
Finance Pulse,financepulse.net,Business and Finance,True
Core Business,corebusiness.com,Business and Finance,True
Insight Finance,insightfinance.org,Business and Finance,True
True Market,truemarket.net,Business and Finance,True
Open Trade,opentrade.info,Business and Finance,True
Star Finance,starfinance.com,Business and Finance,True
Clear Market,clearmarket.org,Business and Finance,True
Hope Finance,hopefinance.net,Business and Finance,True
Vision Trade,visiontrade.info,Business and Finance,True
Advance Market,advancemarket.com,Business and Finance,True
Pure Finance,purefinance.org,Business and Finance,True
Bold Market,boldmarket.net,Business and Finance,True
Clarity Finance,clarityfinance.info,Business and Finance,True
Unity Business,unitybusiness.com,Business and Finance,True
Global Trade,globaltrade.org,Business and Finance,True
Daily Finance,dailyfinance.net,Business and Finance,True
Rise Market,risemarket.info,Business and Finance,True
Care Post,carepost.com,Health and Medicine,True
Well Times,welltimes.org,Health and Medicine,True
Health News,healthnews.info,Health and Medicine,True
Med Pulse,medpulse.net,Health and Medicine,True
Core Health,corehealth.com,Health and Medicine,True
Insight Med,insightmed.org,Health and Medicine,True
True Care,truecare.net,Health and Medicine,True
Open Health,openhealth.info,Health and Medicine,True
Star Med,starmed.com,Health and Medicine,True
Clear Health,clearhealth.org,Health and Medicine,True
Hope Med,hopemed.net,Health and Medicine,True
Vision Health,visionhealth.info,Health and Medicine,True
Advance Care,advancecare.com,Health and Medicine,True
Pure Health,purehealth.org,Health and Medicine,True
Bold Med,boldmed.net,Health and Medicine,True
Clarity Health,clarityhealth.info,Health and Medicine,True
Unity Care,unitycare.com,Health and Medicine,True
Global Health,globalhealth.org,Health and Medicine,True
Daily Med,dailymed.net,Health and Medicine,True
Rise Health,risehealth.info,Health and Medicine,True
State News,statenews.com,Politics and International Affairs,True
Policy Post,policypost.org,Politics and International Affairs,True
Civic Pulse,civicpulse.net,Politics and International Affairs,True
Core Affairs,coreaffairs.com,Politics and International Affairs,True
Insight Policy,insightpolicy.org,Politics and International Affairs,True
True State,truestate.net,Politics and International Affairs,True
Open Policy,openpolicy.info,Politics and International Affairs,True
Star Affairs,staraffairs.com,Politics and International Affairs,True
Clear Policy,clearpolicy.org,Politics and International Affairs,True
Hope State,hopestate.net,Politics and International Affairs,True
Vision Policy,visionpolicy.info,Politics and International Affairs,True
Advance Affairs,advanceaffairs.com,Politics and International Affairs,True
Pure Policy,purepolicy.org,Politics and International Affairs,True
Bold State,boldstate.net,Politics and International Affairs,True
Clarity Policy,claritypolicy.info,Politics and International Affairs,True
Unity Affairs,unityaffairs.com,Politics and International Affairs,True
Global State,globalstate.org,Politics and International Affairs,True
Daily Policy,dailypolicy.net,Politics and International Affairs,True
Rise Affairs,riseaffairs.info,Politics and International Affairs,True
Green News,greennews.com,Environment and Climate,True
Eco Post,ecopost.org,Environment and Climate,True
Planet Pulse,planetpulse.info,Environment and Climate,True
Earth News,earthnews.net,Environment and Climate,True
Core Eco,coreeco.com,Environment and Climate,True
Insight Green,insightgreen.org,Environment and Climate,True
True Earth,trueearth.net,Environment and Climate,True
Open Eco,openeco.info,Environment and Climate,True
Star Green,stargreen.com,Environment and Climate,True
Clear Eco,cleareco.org,Environment and Climate,True
Hope Earth,hopeearth.net,Environment and Climate,True
Vision Green,visiongreen.info,Environment and Climate,True
Advance Eco,advanceeco.com,Environment and Climate,True
Pure Green,puregreen.org,Environment and Climate,True
Bold Eco,boldeco.net,Environment and Climate,True
Clarity Green,claritygreen.info,Environment and Climate,True
Unity Eco,unityeco.com,Environment and Climate,True
Global Green,globalgreen.org,Environment and Climate,True
Daily Eco,dailyeco.net,Environment and Climate,True
Rise Green,risegreen.info,Environment and Climate,True
Learn News,learnnews.com,Education,True
Edu Post,edupost.org,Education,True
School News,schoolnews.info,Education,True
Academic Pulse,academicpulse.net,Education,True
Core Edu,coreedu.com,Education,True
Insight Learn,insightlearn.org,Education,True
True School,trueschool.net,Education,True
Open Edu,openedu.info,Education,True
Star Learn,starlearn.com,Education,True
Clear Edu,clearedu.org,Education,True
Hope School,hopeschool.net,Education,True
Vision Edu,visionedu.info,Education,True
Advance Learn,advancelearn.com,Education,True
Pure Edu,pureedu.org,Education,True
Bold School,boldschool.net,Education,True
Clarity Edu,clarityedu.info,Education,True
Arts News,artsnews.com,Entertainment and Culture,True
Culture Post,culturepost.org,Entertainment and Culture,True
Pop News,popnews.info,Entertainment and Culture,True
Trend Pulse,trendpulse.net,Entertainment and Culture,True
Core Arts,corearts.com,Entertainment and Culture,True
Insight Culture,insightculture.org,Entertainment and Culture,True
